,index,jobName,tags,area,workYear,degree,companyName,companyType,companySize,logo,min_salary,max_salary
8775,8775,短视频剪辑,"新媒体,视频,音频,影视,摄像,编导,剪辑,五险,法定节假日,带薪年假,全勤奖,国内外旅游,绩效奖金,年终奖金,交通补贴,餐饮补贴,五险,法定节假日,单双轮休,带薪年假,全勤奖,国内外旅游,绩效奖金,年终奖金,交通补贴,餐饮补贴",云南省昆明官渡区,1年,大专,云南天方食品有限公司,民营,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/4/3201/3200135/3200135_300.png?637015769077479898,4000,8000
8776,8776,软件主任工程师,"需求分析,sql,vue,调试,软件开发,c#,设计模式,wms,mes,WCS,周末双休,法定节假日,带薪年假",湖南省长沙雨花区,8-9年,大专,湖南宽海智能装备有限公司,创业公司,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/7/6753/6752738/6752738_300.jpg?637672260698627560,15000,18333
8777,8777,.NET中级开发工程师,".net,五险一金,员工旅游,定期体检",湖南省长沙雨花区,3-4年,本科,湖南中交京纬信息科技有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_compuserve.png,7000,12000
8778,8778,软件工程师,"MES开发,软件开发,调试,sqlserver,mysql,oracle,五险一金,包工作餐,提供住宿,年终奖,项目奖,带薪假日,年度体检,部门聚餐,节日礼品",湖南省长沙长沙县,5-7年,本科,湖南星创智能装备有限公司,民营,150-500人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_mech.png,10000,15000
8779,8779,.NET软件工程师,"软件工程师,C#,.net,开发,五险一金,周末双休,餐饮补贴,通讯补贴,弹性工作",湖南省长沙雨花区,3-4年,大专,上海递缇智能系统有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_instrumentation.png,10000,15000
8780,8780,WMS/WCS软件工程师,"软件,软件开发,,NET开发,C#开发,.NET,C#,WMS,WCS,立体库,仓储物流软件,周末双休,法定节假日,带薪年假,社保,股票期权,奖金,包食宿",湖南省长沙雨花区,3-4年,大专,湖南宽海智能装备有限公司,创业公司,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/7/6753/6752738/6752738_300.jpg?637672260698627560,8000,15000
8781,8781,.net研发工程师（高级）,".net,.netcore,webapi,mongodb,五险一金,定期体检,周末双休,节日福利,绩效奖金,带薪年假,下午茶点",湖南省长沙岳麓区,5-7年,本科,广州力控元海信息科技有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/4/3554/3553794/3553794_120.gif?635802641638358418,10000,15000
8782,8782,.NET高级开发工程师,.net,湖南省长沙雨花区,5-7年,本科,湖南中交京纬信息科技有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_compuserve.png,10000,16000
8783,8783,中级软件工程师（C#/.net/.net  core,"软件,软件开发,,NET开发,C#开发,.net,.NET,C#,WMS,WCS,立体库,周末双休,法定节假日,带薪年假,社保,奖金,包食宿",湖南省长沙雨花区,3-4年,大专,湖南宽海智能装备有限公司,创业公司,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/7/6753/6752738/6752738_300.jpg?637672260698627560,6000,11000
8784,8784,开发部经理,"团队管理,多线程,jvm,二次开发,软件工程,springboot,mybatis,springcloud,带薪年假,五险一金,周末双休,绩效奖金,高温补贴,节日福利",湖南省长沙,5-7年,本科,道道全粮油股份有限公司,已上市,1000-5000人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_fmcg.png,15000,25000
